gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,total_time_ms,spmv_time_ms,dot_time_ms,axpy_time_ms,overhead_ms,iterations,rel_residual,abs_error,spmv_gbps,bw_efficiency_pct
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,cusparse,0,5.121,1.662,1.642,0.832,0.985,11,8.34E-09,1.66E-12,554.97,444.69
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,64,5.436,1.78,1.626,0.964,1.067,11,8.34E-09,1.66E-12,518.15,415.18
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,128,6.939,1.797,1.628,1.61,1.904,11,8.34E-09,1.66E-12,513.13,411.16
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,256,4.429,1.739,1.126,0.95,0.614,11,8.34E-09,1.66E-12,530.39,425
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,512,6.327,1.772,1.602,0.939,2.013,11,8.34E-09,1.66E-12,520.34,416.94
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,64,12.439,7.678,1.626,0.943,2.192,11,8.34E-09,1.66E-12,120.1,96.24
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,128,12.796,9.245,1.59,1.059,0.903,11,8.34E-09,1.66E-12,99.75,79.93
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,256,12.194,7.682,1.573,2.003,0.936,11,8.34E-09,1.66E-12,120.05,96.2
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,512,12.676,7.651,1.63,0.918,2.478,11,8.34E-09,1.66E-12,120.54,96.58
[2D N=2048] 4194304 x 4194304, nnz = 20963328, avg nnz/row = 5.00, memory ~ 319.91 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,cusparse,0,49.691,23.019,7.716,14.295,4.661,31,9.81E-09,2.01E-12,451.74,361.97
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,64,48.728,22.566,8.166,12.741,5.255,31,9.81E-09,2.01E-12,460.82,369.25
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,128,47.921,21.306,9.832,12.784,3.999,31,9.81E-09,2.01E-12,488.07,391.09
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,256,48.131,22.305,7.936,12.581,5.31,31,9.81E-09,2.01E-12,466.21,373.57
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,512,49.032,21.336,8.021,14.761,4.913,31,9.81E-09,2.01E-12,487.38,390.53
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,64,115.334,88.376,8.655,13.537,4.766,31,9.81E-09,2.01E-12,117.67,94.28
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,128,116.974,88.084,8.9,13.577,6.413,31,9.81E-09,2.01E-12,118.06,94.6
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,256,114.631,87.02,8.568,14.91,4.133,31,9.81E-09,2.01E-12,119.5,95.75
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,512,115.565,89.243,8.681,12.924,4.717,31,9.81E-09,2.01E-12,116.52,93.37
[3D N=32] 32768 x 32768, nnz = 223232, avg nnz/row = 6.81, memory ~ 3.18 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,cusparse,0,0.367,0.077,0.156,0.031,0.103,1,5.34E-12,5.40E-14,43.22,34.63
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,64,0.156,0.017,0.073,0.034,0.033,1,5.34E-12,5.40E-14,201.14,161.17
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,128,0.141,0.016,0.066,0.028,0.03,1,5.34E-12,5.40E-14,203.1,162.74
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,256,0.174,0.04,0.076,0.025,0.032,1,5.34E-12,5.40E-14,84.3,67.55
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,512,0.269,0.052,0.144,0.038,0.034,1,5.34E-12,5.40E-14,64.08,51.35
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,64,0.186,0.034,0.089,0.03,0.033,1,5.34E-12,5.40E-14,99.04,79.36
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,128,0.356,0.048,0.158,0.049,0.101,1,5.34E-12,5.40E-14,68.91,55.22
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,256,0.204,0.034,0.102,0.028,0.04,1,5.34E-12,5.40E-14,98.95,79.29
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,512,0.372,0.051,0.15,0.045,0.127,1,5.34E-12,5.40E-14,65.78,52.71
[3D N=48] 110592 x 110592, nnz = 760320, avg nnz/row = 6.88, memory ~ 10.81 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,cusparse,0,0.299,0.044,0.12,0.067,0.068,1,2.51E-11,1.34E-13,256.51,205.54
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,64,0.154,0.028,0.079,0.016,0.032,1,2.51E-11,1.34E-13,409.05,327.77
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,128,0.166,0.024,0.086,0.016,0.039,1,2.51E-11,1.34E-13,464.27,372.01
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,256,0.184,0.03,0.093,0.03,0.032,1,2.51E-11,1.34E-13,376.05,301.32
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,512,0.271,0.039,0.14,0.026,0.066,1,2.51E-11,1.34E-13,287.3,230.21
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,64,0.226,0.081,0.082,0.031,0.032,1,2.51E-11,1.34E-13,139.74,111.97
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,128,0.221,0.083,0.081,0.027,0.031,1,2.51E-11,1.34E-13,136.83,109.64
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,256,0.297,0.082,0.142,0.039,0.034,1,2.51E-11,1.34E-13,137.94,110.53
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,512,0.994,0.095,0.499,0.084,0.316,1,2.51E-11,1.34E-13,119.23,95.54
[3D N=64] 262144 x 262144, nnz = 1810432, avg nnz/row = 6.91, memory ~ 25.72 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,cusparse,0,1.233,0.068,1.109,0.018,0.038,1,7.45E-11,2.21E-13,398.46,319.28
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,64,0.203,0.053,0.094,0.017,0.039,1,7.45E-11,2.21E-13,511.38,409.76
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,128,0.203,0.05,0.102,0.017,0.033,1,7.45E-11,2.21E-13,535.42,429.02
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,256,0.339,0.053,0.16,0.034,0.092,1,7.45E-11,2.21E-13,510.76,409.26
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,512,0.319,0.051,0.144,0.031,0.093,1,7.45E-11,2.21E-13,532.04,426.31
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,64,0.614,0.338,0.147,0.034,0.095,1,7.45E-11,2.21E-13,79.75,63.9
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,128,0.322,0.177,0.097,0.016,0.032,1,7.45E-11,2.21E-13,152.56,122.25
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,256,0.402,0.177,0.171,0.018,0.036,1,7.45E-11,2.21E-13,152.42,122.13
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,512,0.494,0.197,0.144,0.035,0.117,1,7.45E-11,2.21E-13,136.59,109.45
[3D N=96] 884736 x 884736, nnz = 6137856, avg nnz/row = 6.94, memory ~ 87.12 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,cusparse,0,0.343,0.184,0.096,0.026,0.037,1,3.92E-10,6.37E-13,497.15,398.36
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,64,0.332,0.169,0.088,0.039,0.036,1,3.92E-10,6.37E-13,540.04,432.73
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,128,0.503,0.177,0.172,0.054,0.099,1,3.92E-10,6.37E-13,514.91,412.59
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,256,0.502,0.176,0.166,0.056,0.103,1,3.92E-10,6.37E-13,517.71,414.83
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,512,0.339,0.162,0.094,0.052,0.032,1,3.92E-10,6.37E-13,565.5,453.13
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,64,0.761,0.573,0.116,0.039,0.034,1,3.92E-10,6.37E-13,159.41,127.73
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,128,2.111,1.72,0.212,0.069,0.11,1,3.92E-10,6.37E-13,53.1,42.55
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,256,0.814,0.571,0.143,0.065,0.035,1,3.92E-10,6.37E-13,160.05,128.25
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,512,0.931,0.571,0.196,0.054,0.11,1,3.92E-10,6.37E-13,160.1,128.28
[3D N=128] 2097152 x 2097152, nnz = 14581760, avg nnz/row = 6.95, memory ~ 206.88 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,cusparse,0,0.781,0.413,0.159,0.109,0.102,1,1.19E-09,1.02E-12,525.86,421.36
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,64,1.814,0.391,0.161,0.214,1.048,1,1.19E-09,1.02E-12,554.83,444.57
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,128,0.659,0.41,0.134,0.079,0.035,1,1.19E-09,1.02E-12,528.73,423.66
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,256,0.633,0.391,0.128,0.08,0.034,1,1.19E-09,1.02E-12,554.28,444.14
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,512,0.716,0.412,0.155,0.091,0.057,1,1.19E-09,1.02E-12,526.47,421.85
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,64,1.586,1.338,0.134,0.079,0.035,1,1.19E-09,1.02E-12,162.1,129.89
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,128,3.098,2.826,0.152,0.078,0.042,1,1.19E-09,1.02E-12,76.76,61.5
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,256,1.926,1.621,0.168,0.079,0.058,1,1.19E-09,1.02E-12,133.79,107.21
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,512,1.751,1.35,0.2,0.1,0.101,1,1.19E-09,1.02E-12,160.7,128.77
