gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,total_time_ms,spmv_time_ms,dot_time_ms,axpy_time_ms,overhead_ms,iterations,rel_residual,abs_error,spmv_gbps,bw_efficiency_pct
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,cusparse,0,6.831,1.826,2.739,0.849,1.417,11,8.34E-09,1.66E-12,505.11,404.73
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,64,5.106,1.747,1.425,1.021,0.914,11,8.34E-09,1.66E-12,527.89,422.99
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,128,4.765,1.751,1.278,1.039,0.697,11,8.34E-09,1.66E-12,526.76,422.08
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,256,6.793,1.746,1.709,2.092,1.246,11,8.34E-09,1.66E-12,528.23,423.26
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,512,4.228,1.726,1.048,1.016,0.438,11,8.34E-09,1.66E-12,534.36,428.17
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,64,14.031,8.892,1.714,1.885,1.54,11,8.34E-09,1.66E-12,103.71,83.1
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,128,12.282,7.345,1.687,0.914,2.335,11,8.34E-09,1.66E-12,125.56,100.61
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,256,12.119,7.339,1.632,1.177,1.971,11,8.34E-09,1.66E-12,125.66,100.69
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,512,9.86,7.378,1.105,0.88,0.497,11,8.34E-09,1.66E-12,124.99,100.15
[2D N=2048] 4194304 x 4194304, nnz = 20963328, avg nnz/row = 5.00, memory ~ 319.91 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,cusparse,0,48.183,22.82,7.434,13.894,4.035,31,9.81E-09,2.01E-12,455.68,365.13
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,64,45.043,22.628,7.52,12.518,2.377,31,9.81E-09,2.01E-12,459.56,368.24
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,128,49.282,22.653,9.579,13.29,3.759,31,9.81E-09,2.01E-12,459.05,367.82
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,256,48.911,21.352,8.201,12.578,6.78,31,9.81E-09,2.01E-12,487.01,390.24
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,512,48.891,22.514,8.067,13.273,5.036,31,9.81E-09,2.01E-12,461.88,370.09
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,64,115.631,88.846,8.444,14.209,4.132,31,9.81E-09,2.01E-12,117.04,93.78
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,128,113.843,88.312,8.139,14.271,3.121,31,9.81E-09,2.01E-12,117.75,94.35
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,256,112.159,87.03,8.027,14.326,2.776,31,9.81E-09,2.01E-12,119.49,95.74
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,512,113.488,89.232,8.139,13.206,2.911,31,9.81E-09,2.01E-12,116.54,93.38
[3D N=32] 32768 x 32768, nnz = 223232, avg nnz/row = 6.81, memory ~ 3.18 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,cusparse,0,0.213,0.036,0.077,0.042,0.058,1,5.34E-12,5.40E-14,92.95,74.48
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,64,0.307,0.033,0.145,0.032,0.097,1,5.34E-12,5.40E-14,101.95,81.69
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,128,0.679,0.494,0.112,0.036,0.036,1,5.34E-12,5.40E-14,6.75,5.41
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,256,0.764,0.218,0.49,0.018,0.038,1,5.34E-12,5.40E-14,15.31,12.27
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,512,0.137,0.013,0.079,0.014,0.032,1,5.34E-12,5.40E-14,261.79,209.77
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,64,0.185,0.032,0.105,0.015,0.034,1,5.34E-12,5.40E-14,104.3,83.57
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,128,0.178,0.038,0.08,0.026,0.034,1,5.34E-12,5.40E-14,87.7,70.28
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,256,0.361,0.052,0.154,0.049,0.106,1,5.34E-12,5.40E-14,64.68,51.82
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,512,0.162,0.032,0.073,0.027,0.031,1,5.34E-12,5.40E-14,103.67,83.07
[3D N=48] 110592 x 110592, nnz = 760320, avg nnz/row = 6.88, memory ~ 10.81 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,cusparse,0,0.36,0.071,0.152,0.037,0.099,1,2.51E-11,1.34E-13,158.64,127.11
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,64,0.328,0.04,0.158,0.032,0.098,1,2.51E-11,1.34E-13,282.26,226.17
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,128,0.33,0.044,0.152,0.033,0.101,1,2.51E-11,1.34E-13,254.85,204.21
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,256,0.332,0.047,0.154,0.031,0.1,1,2.51E-11,1.34E-13,239.68,192.05
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,512,0.325,0.039,0.15,0.033,0.103,1,2.51E-11,1.34E-13,291.56,233.62
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,64,0.927,0.081,0.508,0.082,0.256,1,2.51E-11,1.34E-13,139.91,112.1
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,128,0.275,0.081,0.123,0.037,0.034,1,2.51E-11,1.34E-13,139.35,111.66
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,256,0.245,0.082,0.094,0.037,0.033,1,2.51E-11,1.34E-13,138.65,111.09
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,512,0.241,0.105,0.075,0.029,0.032,1,2.51E-11,1.34E-13,107.7,86.3
[3D N=64] 262144 x 262144, nnz = 1810432, avg nnz/row = 6.91, memory ~ 25.72 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,cusparse,0,0.217,0.059,0.093,0.032,0.033,1,7.45E-11,2.21E-13,456.78,366.01
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,64,0.182,0.053,0.079,0.018,0.033,1,7.45E-11,2.21E-13,513.25,411.26
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,128,0.188,0.036,0.088,0.032,0.032,1,7.45E-11,2.21E-13,755.83,605.63
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,256,0.188,0.033,0.09,0.032,0.032,1,7.45E-11,2.21E-13,805.69,645.59
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,512,0.192,0.038,0.093,0.03,0.032,1,7.45E-11,2.21E-13,709.98,568.9
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,64,0.335,0.178,0.099,0.017,0.041,1,7.45E-11,2.21E-13,151.79,121.63
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,128,0.491,0.195,0.159,0.036,0.101,1,7.45E-11,2.21E-13,138.22,110.76
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,256,0.484,0.195,0.148,0.041,0.1,1,7.45E-11,2.21E-13,138.02,110.59
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,512,1.544,0.195,0.185,0.851,0.314,1,7.45E-11,2.21E-13,138.41,110.9
[3D N=96] 884736 x 884736, nnz = 6137856, avg nnz/row = 6.94, memory ~ 87.12 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,cusparse,0,0.505,0.184,0.17,0.042,0.108,1,3.92E-10,6.37E-13,495.86,397.32
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,64,0.493,0.176,0.166,0.056,0.096,1,3.92E-10,6.37E-13,518.93,415.81
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,128,0.5,0.177,0.169,0.055,0.099,1,3.92E-10,6.37E-13,515.84,413.33
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,256,0.342,0.16,0.086,0.053,0.043,1,3.92E-10,6.37E-13,569.22,456.11
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,512,0.482,0.18,0.15,0.055,0.096,1,3.92E-10,6.37E-13,506.23,405.64
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,64,0.896,0.591,0.149,0.055,0.1,1,3.92E-10,6.37E-13,154.49,123.79
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,128,0.893,0.587,0.154,0.054,0.097,1,3.92E-10,6.37E-13,155.74,124.79
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,256,0.804,0.587,0.136,0.04,0.041,1,3.92E-10,6.37E-13,155.54,124.63
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,512,0.737,0.569,0.096,0.039,0.033,1,3.92E-10,6.37E-13,160.45,128.56
[3D N=128] 2097152 x 2097152, nnz = 14581760, avg nnz/row = 6.95, memory ~ 206.88 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,cusparse,0,0.798,0.421,0.164,0.116,0.096,1,1.19E-09,1.02E-12,514.72,412.44
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,64,0.801,0.408,0.192,0.103,0.099,1,1.19E-09,1.02E-12,532.18,426.42
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,128,0.652,0.392,0.131,0.097,0.032,1,1.19E-09,1.02E-12,553.65,443.63
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,256,0.811,0.41,0.183,0.091,0.127,1,1.19E-09,1.02E-12,528.98,423.86
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,512,0.654,0.392,0.133,0.097,0.032,1,1.19E-09,1.02E-12,553.38,443.41
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,64,1.741,1.354,0.189,0.1,0.098,1,1.19E-09,1.02E-12,160.25,128.4
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,128,1.613,1.337,0.147,0.097,0.033,1,1.19E-09,1.02E-12,162.25,130.01
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,256,2.824,1.351,0.205,0.121,1.147,1,1.19E-09,1.02E-12,160.6,128.69
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,512,1.607,1.333,0.145,0.097,0.032,1,1.19E-09,1.02E-12,162.75,130.41
