gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,avg_spmv_ms,spmv_gbps,bw_efficiency_pct
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,256,0.7132,117.54,94.19
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,512,0.712,117.75,94.35
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,cusparse,0,0.1453,576.97,462.32
[2D N=2048] 4194304 x 4194304, nnz = 20963328, avg nnz/row = 5.00, memory ~ 319.91 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,64,0.6654,504.15,403.96
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,128,0.6659,503.74,403.64
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,256,0.6489,516.95,414.23
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,512,0.6609,507.53,406.67
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,64,2.8627,117.18,93.89
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,128,2.8757,116.65,93.47
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,256,2.8772,116.59,93.42
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,512,2.8457,117.88,94.45
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,cusparse,0,0.6743,497.47,398.61
[3D N=32] 32768 x 32768, nnz = 223232, avg nnz/row = 6.81, memory ~ 3.18 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,64,0.0063,528.57,423.54
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,128,0.0061,544.74,436.49
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,256,0.0062,541.76,434.11
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,512,0.0062,540.86,433.38
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,64,0.0234,142.62,114.28
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,128,0.0233,142.89,114.49
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,256,0.0342,97.49,78.11
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,512,0.0253,131.57,105.42
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,cusparse,0,0.0391,85.24,68.3
[3D N=48] 110592 x 110592, nnz = 760320, avg nnz/row = 6.88, memory ~ 10.81 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,64,0.0155,731.66,586.27
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,128,0.0248,458.01,366.99
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,256,0.0127,890.1,713.22
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,row_per_thread,512,0.0137,826.24,662.05
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,64,0.0725,156.39,125.31
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,128,0.0845,134.13,107.48
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,256,0.0726,156.12,125.1
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,warp_per_row,512,0.0845,134.14,107.48
NVIDIA GeForce RTX 4090 Laptop GPU,3D,48,110592,760320,cusparse,0,0.0262,432.76,346.76
[3D N=64] 262144 x 262144, nnz = 1810432, avg nnz/row = 6.91, memory ~ 25.72 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,64,0.0249,1081.67,866.72
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,128,0.0265,1016.44,814.46
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,256,0.0256,1051.78,842.78
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,row_per_thread,512,0.0271,993.85,796.35
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,64,0.1805,149.38,119.7
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,128,0.1817,148.42,118.93
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,256,0.18,149.82,120.05
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,warp_per_row,512,0.1802,149.7,119.95
NVIDIA GeForce RTX 4090 Laptop GPU,3D,64,262144,1810432,cusparse,0,0.0495,544.74,436.49
[3D N=96] 884736 x 884736, nnz = 6137856, avg nnz/row = 6.94, memory ~ 87.12 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,64,0.1824,500.89,401.35
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,128,0.1822,501.25,401.65
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,256,0.1818,502.58,402.71
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,512,0.1823,501.06,401.49
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,64,0.6019,151.77,121.61
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,128,0.5984,152.67,122.33
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,256,0.5994,152.4,122.12
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,512,0.5985,152.64,122.31
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,cusparse,0,0.1619,564.07,451.98
[3D N=128] 2097152 x 2097152, nnz = 14581760, avg nnz/row = 6.95, memory ~ 206.88 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,64,0.4349,498.81,399.69
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,128,0.4328,501.16,401.57
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,256,0.4219,514.16,411.99
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,512,0.4261,509.13,407.96
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,64,1.4384,150.81,120.84
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,128,1.4312,151.57,121.45
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,256,1.4382,150.83,120.86
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,512,1.4191,152.86,122.48
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,cusparse,0,0.3752,578.12,463.24
